Component,Part Number,Package,Length (mm),Width (mm),Height (mm),Notes
MCU/BLE,nRF52810-QFAA-R,QFN48,6.0,6.0,0.85,Was 4×4mm - CORRECTED
Cellular,BG95-M3,LCC102,13.0,15.8,2.2,Correct
eSIM,ST4SIM-200M,MFF2,5.0,6.0,0.75,Replaces STSAFE-J100
GPS,MAX-M10S,LCC,9.7,10.0,1.6,Was 12×16mm - CORRECTED
PPG Sensor,MAX30102,OLGA14,5.6,3.3,1.55,Correct
Temperature,TMP102,SOT563,1.6,1.2,0.5,Was DSBGA - CORRECTED
Accelerometer,ADXL372,LGA16,3.0,3.25,1.06,Correct
LDO Regulator,MCP1700T-3302E/TT,SOT-23,2.9,1.3,0.95,Was /TO variant - CORRECTED
Charger IC,MCP73831T-2ACI/OT,SOT-23-5,3.1,1.8,1.3,Correct
NFC Chip,ST25DV04K-IER8C3,UFDFPN8,2.0,3.0,0.6,Was 3×3mm variant - CORRECTED
Haptic Driver,DRV2605L,VQFN10,3.0,3.0,0.75,Correct
Flash Memory,W25Q32JVSSIQ,SOIC-8,5.28,7.9,1.75,Was 5×6mm - CORRECTED
RGB LED,Everlight 19-337/R6GHBHC-M01/2T,1616,1.6,1.6,0.8,Verified
Haptic Motor,Jinlong G1040003D,Coin LRA,10.0,10.0,4.0,Diameter ∅10mm - Replaces Z4LC1B0001781
Button,Snaptron 4DT,Metal Dome,4.0,4.0,0.3,Diameter ∅4mm - NEW
Battery (each),LP301020,Li-Po,20.0,10.0,3.0,Was 2mm thick - CORRECTED (need 2 units)
